,City,Colors Reported,Shape Reported,State,Time
187,Chester,,OVAL,PA,1952-06-22 17:45:00
188,Cheyenne,,DISK,WY,1952-06-30 00:00:00
189,Pecos,,DISK,TX,1952-06-30 03:00:00
190,Barksdale AFB,,,LA,1952-06-30 06:00:00
191,Miami,,LIGHT,FL,1952-06-30 09:00:00
192,New York City,,DISK,NY,1952-06-30 13:00:00
193,Auburn,,OVAL,WA,1952-06-30 18:30:00
194,Miami,,DISK,FL,1952-06-30 21:00:00
195,Miami,,DISK,FL,1952-06-30 21:00:00
196,Miami,,LIGHT,FL,1952-06-30 21:00:00
197,Sebeka,,OTHER,MN,1952-07-01 15:00:00
198,Detroit,,SPHERE,MI,1952-07-01 22:00:00
199,Tacoma,,SPHERE,WA,1952-07-05 16:00:00
200,Evergreen,,CIRCLE,CO,1952-07-07 10:00:00
201,Arlington,,DISK,TX,1952-07-07 13:00:00
202,Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00
203,Wilmington,,DISK,CA,1952-07-15 12:00:00
204,,,DISK,CA,1952-07-15 12:30:00
205,Litchfield,,OTHER,PA,1952-07-15 13:00:00
206,South Gate,,CIRCLE,CA,1952-07-15 14:00:00
207,North Bend,,OTHER,WA,1952-07-15 18:30:00
208,New York City,,OTHER,NY,1952-07-15 19:00:00
209,Okolona,,OVAL,MS,1952-07-22 09:30:00
210,Tacoma,,SPHERE,WA,1952-07-25 16:00:00
211,Manville,,SPHERE,RI,1952-07-30 15:00:00
212,Tampa,,OVAL,FL,1952-08-01 21:30:00
213,Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00
214,Prairie Grove,,DISK,AR,1952-08-15 17:30:00
215,Hamilton,,LIGHT,OH,1952-08-15 22:15:00
216,Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00
217,Norridgewock,,DISK,ME,1952-09-15 14:00:00
218,Kansas City,,DISK,MO,1952-10-01 12:00:00
219,Richland,,CIRCLE,WA,1952-10-15 21:00:00
220,Chicago,,OTHER,IL,1952-12-06 19:00:00
221,Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00
222,Nebraska,,,NE,1953-01-01 00:00:00
223,Oklahoma,,CIGAR,TX,1953-01-01 14:00:00
224,Palm Springs,,,CA,1953-03-15 00:00:00
225,Haverhill,,CHEVRON,MA,1953-04-01 15:00:00
226,Cambridge,RED,SPHERE,MA,1953-04-01 18:00:00
227,Chariton,,OTHER,IA,1953-04-10 13:00:00
228,Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00
229,Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00
230,Jamison,,CIGAR,PA,1953-04-30 16:00:00
231,Kingman,,,AZ,1953-05-20 08:00:00
232,Fresno,,,CA,1953-06-01 21:00:00
233,Roswell,,,NM,1953-06-15 00:00:00
234,Wenatchee,,DISK,WA,1953-06-15 12:00:00
235,Fort Worth,,SPHERE,TX,1953-06-15 13:00:00
236,North Bend,,CIRCLE,WA,1953-06-15 18:00:00
237,Galveston,,CIGAR,TX,1953-06-17 07:30:00
238,Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00
239,Kelso,,OVAL,WA,1953-06-30 15:00:00
240,Colorado Springs,,DISK,CO,1953-07-01 05:30:00
241,,BLUE,DISK,MT,1953-07-04 14:00:00
242,Ogallala,,OTHER,NE,1953-07-04 21:00:00
243,Nashville,,CYLINDER,TN,1953-07-15 13:00:00
244,Dublin,,CONE,IN,1953-07-17 22:00:00
245,Berkeley,,FIREBALL,MO,1953-08-01 12:00:00
246,"San Bernadino Mtns, Church Camp",,DISK,CA,1953-08-01 14:00:00
247,Vallejo,,LIGHT,CA,1953-08-07 21:00:00
248,Louisville,,CIRCLE,KY,1953-08-15 11:00:00
249,Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00
250,Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00
251,Homer,,,PA,1953-09-15 14:00:00
252,Mauriceville,,DISK,TX,1953-10-15 14:00:00
253,New Orleans,,OVAL,LA,1953-10-31 19:00:00
254,Cicero,,OTHER,IL,1953-11-13 20:00:00
255,Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00
256,Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00
257,Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00
258,Brunswick,,,ME,1954-01-01 00:00:00
259,Lakeland,,DISK,FL,1954-01-01 01:00:00
260,Souix City,,CIRCLE,IA,1954-01-01 22:00:00
261,Santa Monica,,LIGHT,CT,1954-01-15 20:00:00
262,Fairbanks,,,AK,1954-02-01 02:00:00
263,Burney,,DISK,CA,1954-02-15 19:30:00
264,Stanford Campus,,DISK,CA,1954-04-01 22:00:00
265,Corvallis,,DIAMOND,OR,1954-05-15 12:00:00
266,Quincy,,DISK,IL,1954-05-26 04:30:00
267,Houston,,DISK,TX,1954-06-01 00:00:00
268,Ovid,,DISK,NY,1954-06-01 06:00:00
269,Springfield,,CYLINDER,IL,1954-06-01 08:00:00
270,El Cerrito,,LIGHT,CA,1954-06-01 19:00:00
271,Toledo,,DISK,OH,1954-06-01 19:00:00
272,Norfolk,,DISK,VA,1954-06-01 20:00:00
273,Philadelphia,,DISK,PA,1954-06-01 20:00:00
274,Fish Canyon,,LIGHT,CA,1954-06-01 23:00:00
275,Atlanta,,DISK,GA,1954-06-06 10:00:00
276,Estes Park,,CIGAR,CO,1954-06-10 20:00:00
277,Glenburn,,,ME,1954-06-11 02:00:00
278,Palm Beach,,LIGHT,CA,1954-06-15 11:00:00
279,Claymont,,DISK,DE,1954-06-15 11:45:00
280,Ellington AFB,,DISK,TX,1954-06-15 16:30:00
281,Lorton,,OTHER,VA,1954-06-23 02:00:00
282,Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00
283,Thrifty,,CIRCLE,TX,1954-06-25 03:30:00
284,Marion,,CIRCLE,VA,1954-06-30 00:00:00
285,Methuen,,,MA,1954-06-30 00:00:00
286,Hawthorne,,LIGHT,CA,1954-06-30 12:00:00
287,Pasadena,,CIRCLE,CA,1954-06-30 15:00:00
288,St. Louis Airport,RED,OVAL,MO,1954-07-01 21:00:00
289,Los Angeles,RED,CIRCLE,CA,1954-07-01 22:00:00
290,Walnut Creek,,,CA,1954-07-07 20:00:00
291,West Columbia,,FORMATION,SC,1954-07-07 22:00:00
292,Morroco,,VARIOUS,IN,1954-07-12 17:30:00
293,Philadelphia,,DISK,PA,1954-07-15 11:00:00
294,Greenfield,,CIGAR,IN,1954-07-15 14:00:00
295,Kansas City,,CHEVRON,KS,1954-07-15 21:00:00
296,Oakdale,,DISK,NY,1954-07-15 21:00:00
297,Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00
298,Farmingdale,,OVAL,NY,1954-08-01 12:00:00
299,Dyer,,TRIANGLE,IN,1954-08-01 17:00:00
300,Canton,,DISK,PA,1954-08-01 21:00:00
301,North Hollywood,,LIGHT,CA,1954-08-01 22:00:00
302,Puyallup,,OVAL,WA,1954-08-15 21:00:00
303,Geneva,,DISK,NY,1954-09-01 13:00:00
304,Beaumont,RED,DISK,TX,1954-09-09 12:30:00
305,Palmer Township,,OTHER,PA,1954-09-15 09:30:00
306,Flatwoods,,CIRCLE,WV,1954-10-01 19:00:00
307,Blanco,,OTHER,TX,1954-10-15 16:30:00
308,Manistee,,CIRCLE,MI,1954-10-15 21:30:00
309,Denver,,FIREBALL,CO,1954-11-01 18:30:00
310,Thelma,,DISK,TX,1954-11-14 01:00:00
311,Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00
312,Yucaipa,,OVAL,CA,1954-12-16 16:50:00
313,New York City,,LIGHT,NY,1955-02-15 19:00:00
314,Holbrook,YELLOW,EGG,MA,1955-05-01 15:00:00
315,Warrington,,FIREBALL,FL,1955-05-15 03:00:00
316,Homaland,,CIRCLE,CA,1955-06-01 00:00:00
317,Bagley,,CIRCLE,MN,1955-06-01 02:00:00
318,Cincinnati,,DISK,OH,1955-06-01 15:29:00
319,Martinez,,CIRCLE,CA,1955-06-01 17:00:00
320,Clinton,,EGG,TN,1955-06-01 20:30:00
321,Pensacola,,LIGHT,FL,1955-06-06 01:00:00
322,South St. Paul,,DISK,MN,1955-06-15 00:00:00
323,Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00
324,Missouri,,LIGHT,MO,1955-06-15 04:30:00
325,Youngstown,,,PA,1955-06-15 08:00:00
326,Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00
327,Rantoul,,LIGHT,IL,1955-06-17 07:00:00
328,Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00
329,Quartz Hill,,DISK,CA,1955-06-30 00:00:00
330,Lubbock,,CIGAR,TX,1955-06-30 13:00:00
331,Dumas,,LIGHT,TX,1955-06-30 21:00:00
332,Morehead City,,DISK,NC,1955-06-30 21:00:00
333,Carnation,,DISK,WA,1955-07-01 14:00:00
334,Dierks,,CIGAR,AR,1955-07-01 22:00:00
335,Woodland Park,,OVAL,CO,1955-07-15 14:00:00
336,Ringold,,LIGHT,LA,1955-07-15 22:00:00
337,Newtown Square,,CIRCLE,PA,1955-08-06 19:00:00
338,Independence,,FIREBALL,MO,1955-08-08 01:00:00
339,Madisonville,,LIGHT,KY,1955-08-14 01:00:00
340,Eagle Pass,,CIGAR,TX,1955-08-15 00:01:00
341,Covina,,DISK,CA,1955-08-17 21:00:00
342,Bullhead,,DISK,AZ,1955-09-10 23:00:00
343,Mono Lake,,CIRCLE,CA,1955-10-01 22:00:00
344,West Covina,GREEN,,CA,1955-10-09 18:00:00
345,Rhinebeck,,LIGHT,NY,1955-10-15 20:00:00
346,Weirton,,DISK,WV,1956-01-01 05:30:00
347,Petaluma,,OVAL,CA,1956-03-01 13:00:00
348,Bowie,,DISK,MD,1956-03-20 20:00:00
349,Hampton,,SPHERE,MN,1956-03-22 17:30:00
350,Canton,,CIGAR,OH,1956-05-01 12:00:00
351,Pine castle AFB,,LIGHT,FL,1956-05-15 20:00:00
352,Ada,,CIRCLE,OK,1956-05-17 10:22:00
353,Belton,,OTHER,MO,1956-06-01 19:00:00
354,Memphis,ORANGE,CYLINDER,TN,1956-06-01 20:00:00
355,Elmore,,SPHERE,AL,1956-06-05 00:00:00
356,Salt Lake City,,CIRCLE,UT,1956-06-05 00:00:00
357,Upper Glade,,EGG,WV,1956-06-06 12:00:00
358,Akron,,OTHER,OH,1956-06-06 22:00:00
359,Edroy,,,TX,1956-06-15 01:00:00
360,San Francisco,,OTHER,CA,1956-06-15 12:15:00
361,Palo Alto,,FIREBALL,CA,1956-06-15 18:00:00
362,Richfield Springs,,CIGAR,NY,1956-06-15 18:00:00
363,Vista,ORANGE,CIGAR,CA,1956-06-15 19:15:00
364,Farragut,,CIGAR,TN,1956-06-15 20:00:00
365,Tulsa,,FLASH,OK,1956-06-15 20:00:00
366,Salem,,DISK,NJ,1956-06-15 20:32:00
367,New York City,,LIGHT,NY,1956-06-15 21:00:00
368,Cincinnati,,DISK,OH,1956-06-16 13:00:00
369,Madera,,SPHERE,CA,1956-06-24 14:00:00
370,Willow Grove,,LIGHT,PA,1956-06-30 01:00:00
371,Cape Girardeau,,DIAMOND,MO,1956-06-30 13:00:00
372,New Brunswick,,DISK,NJ,1956-06-30 16:00:00
373,Houston,,TRIANGLE,TX,1956-06-30 18:30:00
374,Beatrice,,OTHER,NE,1956-07-01 16:00:00
375,Wichita,,,KS,1956-07-12 19:00:00
376,Sacramento,,DISK,CA,1956-07-14 19:30:00
377,East Hampton,,DISK,CT,1956-07-15 00:00:00
378,Yellowstone Park,,DISK,WY,1956-07-15 00:00:00
379,Sugarcreek,,DISK,OH,1956-07-15 05:00:00
380,Harvard,,,MA,1956-08-01 20:00:00
381,Bradford,YELLOW,SPHERE,AL,1956-08-01 23:30:00
382,Norfolk,,CIGAR,VA,1956-09-09 05:55:00
383,Middle River,BLUE,CIRCLE,MD,1956-09-15 20:00:00
384,Hope,,CIRCLE,AR,1956-09-20 16:00:00
385,Greenwich,,LIGHT,CT,1956-09-21 00:00:00
386,Newport,,RECTANGLE,NH,1956-10-01 19:00:00
387,Edna,,CIRCLE,TX,1956-10-10 21:00:00
388,Mt. Vernon,,DISK,IN,1956-10-15 21:30:00
389,Aberdeen,ORANGE,CIRCLE,SD,1956-11-15 18:30:00
390,Painsville,,RECTANGLE,OH,1956-11-27 22:00:00
391,Columbus,,FORMATION,OH,1956-12-01 23:00:00
392,Dallas,,,TX,1957-01-01 21:00:00
393,Jena,,SPHERE,LA,1957-03-05 19:30:00
394,Fort Devans,,OVAL,MA,1957-03-07 04:00:00
395,Los Angeles,,FORMATION,CA,1957-03-15 13:00:00
396,Los Angeles,,DISK,CA,1957-03-15 15:00:00
397,Canton,,CIGAR,OH,1957-05-01 12:00:00
398,Rhinebeck,,DIAMOND,NY,1957-05-25 13:00:00
399,Union Bower are irving,,FORMATION,TX,1957-06-01 00:00:00
400,El Paso,,DISK,TX,1957-06-01 10:00:00
401,E. Los Angeles,,LIGHT,CA,1957-06-01 12:00:00
402,Glens Falls,,DISK,NY,1957-06-01 20:00:00
403,Irving,,LIGHT,TX,1957-06-01 22:00:00
404,Hicksville,,CIRCLE,NY,1957-06-06 22:00:00
405,Green Lake,,OVAL,MI,1957-06-12 19:00:00
406,Livermore Falls,,DIAMOND,ME,1957-06-14 10:00:00
407,Great Falls,,,MT,1957-06-15 00:00:00
408,Hartford City,,DISK,IN,1957-06-15 13:00:00
409,Walled Lake,,CYLINDER,MI,1957-06-15 23:30:00
410,San Leandro,,LIGHT,CA,1957-06-19 21:00:00
411,Lubbock,,TRIANGLE,TX,1957-06-21 17:00:00
412,Norwalk,,DISK,CA,1957-06-21 19:30:00
413,Arctic,,CIGAR,AK,1957-06-30 00:00:00
414,Dallas,,OTHER,TX,1957-06-30 00:00:00
415,Birmingham,,,MI,1957-06-30 03:30:00
416,New York City,,TEARDROP,NY,1957-06-30 12:00:00
417,Burlington,,CIRCLE,IA,1957-06-30 13:00:00
418,Russellville,ORANGE,SPHERE,AR,1957-06-30 18:00:00
419,Barker,,DISK,NY,1957-06-30 20:00:00
420,Albany,,CIRCLE,CA,1957-06-30 21:00:00
421,Mullens,,OVAL,WV,1957-07-01 13:00:00
422,Talcott,,SPHERE,WV,1957-07-01 13:00:00
423,Del Rio,,CIGAR,TX,1957-07-01 20:00:00
424,Phillipsburg,,CIGAR,NJ,1957-07-10 20:00:00
425,Baltimore,,OTHER,MD,1957-07-10 22:00:00
426,Chesapeake,,DISK,OH,1957-07-13 09:00:00
427,Temple City,,LIGHT,CA,1957-07-15 12:00:00
428,Houston,,DIAMOND,TX,1957-07-15 13:00:00
429,Williamsport,,CIGAR,PA,1957-07-15 14:00:00
430,Long Beach,,DISK,CA,1957-07-15 15:00:00
431,Denver,,LIGHT,CO,1957-07-15 22:00:00
432,Kresgeville,,,PA,1957-07-15 22:00:00
433,Salt  Lake City,,DISK,UT,1957-07-15 22:00:00
434,Kansas City,RED,LIGHT,MO,1957-07-15 23:30:00
435,Arco,,DISK,ID,1957-08-01 12:00:00
436,Vandalia,,DISK,OH,1957-08-03 20:00:00
437,Bainbridge,,FIREBALL,MD,1957-08-04 02:00:00
438,Indianapolis,,LIGHT,IN,1957-08-07 01:00:00
439,San Diego,,DISK,CA,1957-08-09 00:30:00
440,Ticonderoga,,DISK,NY,1957-08-14 16:00:00
441,California,,FIREBALL,CA,1957-08-14 21:00:00
442,Longview,,TRIANGLE,WA,1957-08-15 01:00:00
443,Ludlow,,CIGAR,MA,1957-08-15 01:00:00
444,Exeter,,DISK,NH,1957-08-15 21:00:00
445,Auburn,,,MA,1957-08-15 21:30:00
446,Smith's Ferry,,DISK,ID,1957-08-16 21:30:00
447,Huntington,,TRIANGLE,IN,1957-08-17 23:00:00
448,Graham,,SPHERE,TX,1957-09-01 16:00:00
449,Brecksville,,CIRCLE,OH,1957-09-01 23:00:00
450,Los Gatos,,DISK,CA,1957-09-05 17:30:00
451,St. Paul,,DISK,MN,1957-09-10 19:15:00
452,El Paso,,DISK,TX,1957-09-15 04:00:00
453,Lake Jackson,,FIREBALL,TX,1957-09-15 21:30:00
454,Tacoma,,DISK,WA,1957-09-15 23:00:00
455,Hopkinsville,,CIGAR,KY,1957-09-20 00:00:00
456,Nelchina,,,AK,1957-10-01 16:00:00
457,Martelle,,CIGAR,IA,1957-10-01 20:30:00
458,Paterson,,DISK,NJ,1957-10-01 21:00:00
459,Northeast Cape AFS,,,AK,1957-10-01 22:00:00
